STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Rusk County Sheriff's Office ,County,Rusk County  ,Task Force Model,8/28/2025,link,
TEXAS,Rusk County Sheriff's Office ,County,Rusk County  ,Warrant Service Officer,3/5/2025,link,
TEXAS,Saint Hedwig Marshal's Office,Municipality ,Bexar County,Task Force Model,2/10/2026,link pending,
TEXAS,San Augustine County Sheriff's Office,County,San Augustine County,Task Force Model,1/26/2026,link,
TEXAS,San Jacinto County Sheriff's Office,County ,San Jacinto County,Task Force Model,8/28/2025,link,
TEXAS,San Jacinto County Sheriff's Office,County ,San Jacinto County,Warrant Service Officer,10/17/2025,link,
TEXAS,San Patricio County Sheriff’s Office,County,San Patricio County,Jail Enforcement Model,9/3/2020,link,
TEXAS,Schleicher County Sheriff's Office,County,Schleicher County,Warrant Service Officer,4/2/2025,link,
TEXAS,Scurry County Sheriff's Office,County,Scurry County,Warrant Service Officer,6/25/2025,link,
TEXAS,Shackelford County Sheriff's Office,County ,Shackelford County,Warrant Service Officer,7/24/2025,link,
TEXAS,Shelby County Sheriff's Office ,County ,Shelby County,Warrant Service Officer,9/22/2025,link,
TEXAS,Sherman County Sheriff's Office,County ,Sherman County,Warrant Service Officer,12/12/2025,link,
TEXAS,Shiner Police Department ,Municipality,Lavaca County ,Task Force Model,11/6/2025,link,
TEXAS,Smiley City Marshal's Office,Municipality,Gonzales County ,Task Force Model,11/4/2025,link,
TEXAS,Smith County Constable Precinct 4,County ,Smith County,Task Force Model,10/17/2025,link,
TEXAS,Smith County Sheriff’s Office,County,Smith County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Smith County Sheriff’s Office,County,Smith County,Task Force Model,2/18/2025,link,
TEXAS,Somervell County Sheriff's Office ,County ,Somervell County,Warrant Service Officer,9/22/2025,link,
TEXAS,Splendora Police Department,Municipality,#N/A,Task Force Model,6/13/2025,link,
TEXAS,Stamford Police Department,County,Jones County,Task Force Model,1/26/2026,link,
TEXAS,Stephens County Sheriff's Office ,County ,Stephens County,Warrant Service Officer,10/17/2025,link,
TEXAS,Sterling County Sheriff's Office,County ,Sterling County,Task Force Model,7/23/2025,link,
TEXAS,Stockdale Marshal's Office ,Municipality ,Wilson County,Task Force Model,12/11/2025,link,
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Task Force Model,3/10/2025,link,
TEXAS,Sutton County Sheriff's Office,County,Sutton County ,Warrant Service Officer,3/10/2025,link,
TEXAS,Swisher County Sheriff's Office,County ,Swisher County,Warrant Service Officer,8/28/2025,link,
TEXAS,Tarrant County Sheriff’s Office,County,Tarrant County,Jail Enforcement Model,6/16/2020,link,
TEXAS,Taylor County Sheriff's Office,County,Taylor County ,Warrant Service Officer,12/2/2025,link,
TEXAS,Tenaha Police Department ,Municipality,Shelby County,Task Force Model,1/7/2025,link,
TEXAS,Terrell County Sheriff's Office,County,Terrell County ,Jail Enforcement Model,6/9/2020,link,
TEXAS,Terrell County Sheriff's Office,County,Terrell County,Task Force Model,7/2/2025,link,
TEXAS,Terrell County Sheriff's Office,County,Terrell County,Warrant Service Officer,4/16/2025,link,
TEXAS,Terry County Sheriff's Office,County,Terry County,Warrant Service Officer,7/7/2025,link,
TEXAS,Texas Department of Public Safety - Texas Highway Patrol,State Agency,#NA,Task Force Model,11/3/2025,link,
TEXAS,Texas Department of Public Safety- Criminal Investigations Division ,State Agency,#NA,Task Force Model,10/17/2025,link,
TEXAS,Texas National Guard,State Agency,#N/A,Task Force Model,4/10/2025,link,
TEXAS,Texas Office of the Attorney General,State Agency,#N/A,Task Force Model,1/30/2025,link,
TEXAS,Titus County Sheriff's Office,County,Titus County ,Task Force Model,3/10/2025,link,
TEXAS,Titus County Sheriff's Office,County,Titus County ,Warrant Service Officer,3/10/2025,link,
TEXAS,Tom Green County Sheriff's Office ,County,Tom Green County,Warrant Service Officer,2/10/2026,link pending,
TEXAS,Trinity County Sheriff's Office ,County ,Trinity County ,Warrant Service Officer,8/7/2025,link,
TEXAS,Tyler County Sheriff's Office ,County ,Tyler County,Warrant Service Officer,11/19/2025,link,
TEXAS,Upshur County Constable Precinct 1,County,Upshur County,Task Force Model,2/10/2026,link pending,
TEXAS,Upshur County Sheriff's Office ,County,Upshur County,Task Force Model,12/8/2025,link,
TEXAS,Upton County Sheriff's Office,County ,Upton County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Uvalde County Sheriff's Office ,County,Uvalde County ,Jail Enforcement Model ,11/14/2025,link,
TEXAS,Val Verde County Sheriff's Office ,County,Val Verde County,Warrant Service Officer,1/26/2026,link,
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Jail Enforcement Model,6/8/2020,link,
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Task Force Model,7/7/2025,link,
TEXAS,Victoria County Sheriff’s Office,County,Victoria County,Warrant Service Officer,2/26/2025,link,
TEXAS,Walker County Constable Pct 3,Municipality,Walker County,Task Force Model,9/9/2025,link,
TEXAS,Walker County Sheriff’s Department,County,Walker County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Walker County Sheriff's Office,County,Walker County,Warrant Service Officer,4/2/2025,link,
TEXAS,Waller County Sheriff’s Office,County,Waller County,Warrant Service Officer,2/12/2020,link,
TEXAS,Webb County Sheriff's Office ,County ,Webb County,Jail Enforcement Model ,12/2/2025,link,
TEXAS,Wharton County Sheriff’s Office,County,Wharton County,Jail Enforcement Model,6/9/2020,link,
